"CUSTOMER_ASSET_OBJECTIVE_ID","CUSTOMER_ID","ASSET_OBJECTIVE_ID","TOTAL"
332,332,1,558881.23
333,333,1,980098.91
334,334,1,590880.06
335,335,1,789064.85
336,336,1,614370.85
337,337,1,117113.78
338,338,1,850024.14
339,339,1,676386.46
340,340,1,2040120.58
341,341,1,990515.21
342,342,1,1067332.97
343,343,1,421436.7
344,344,1,1524631.26
345,345,1,377552.95
346,346,1,275330.76
347,347,1,978507.13
348,348,1,3674723.64
349,349,1,1129245.44
350,350,1,2620430.59
351,351,1,98287.3
352,352,1,1753167.69
353,353,1,1297904.71
354,354,1,1207104.6
355,355,1,2538662.57
356,356,1,2968580.16
357,357,1,2653734.47
358,358,1,2748097.87
359,359,1,311548.85
360,360,1,1840397.52
361,361,1,707327.71
362,362,1,2523430.54
363,363,1,356134.9
364,364,1,859608.05
365,365,1,669231.76
366,366,1,995304.86
367,367,1,639712.63
368,368,1,1769073.32
369,369,1,278091.63
370,370,1,981996.81
371,371,1,1613894.88
372,372,1,1243753.43
373,373,1,425110.3
374,374,1,372774.85
375,375,1,1492853.36
376,376,1,67053.36
377,377,1,108917.95
378,378,1,993385.54
379,379,1,1785255.51
380,380,1,1106353.87
381,381,1,142265.01
382,382,1,2098151.64
383,383,1,1731622.7
384,384,1,29130.57
385,385,1,160216.74
386,386,1,337222.33
387,387,1,1034850.09
388,388,1,67214.16
389,389,1,3333388.41
390,390,1,3381739.55
391,391,1,1452464.21
392,392,1,1872220.8
393,393,1,2022932.62
394,394,1,605666.32
395,395,1,900113.76
396,396,1,757229.3
397,397,1,855577.63
398,398,1,4250.06
399,399,1,1021816.64
400,400,1,2422930.85
401,401,1,1106677.54
402,402,1,1461588.54
403,403,1,551312.24
404,404,1,1135979.58
405,405,1,1167131.89
406,406,1,1552653.77
407,407,1,890187.38
408,408,1,716027.31
409,409,1,381302.48
410,410,1,197716.71
411,411,1,807303.18
412,412,1,1531375.56
413,413,1,180019.32
414,414,1,1526187.12
415,415,1,1600773.66
416,416,1,33316.19
417,417,1,1006303.33
418,418,1,874550.85
419,419,1,2206663.43
420,420,1,1738673.91
421,421,1,2373656.06
422,422,1,892487.93
423,423,1,156109.57
424,424,1,1563518.11
425,425,1,1368013.09
426,426,1,1048011.74
427,427,1,1559946.59
428,428,1,1214586.92
429,429,1,474708.12
430,430,1,1129363.75
431,431,1,627980.37
432,432,1,3567559.51
433,433,1,3005776.8
434,434,1,899138.17
435,435,1,3257113.02
436,436,1,612509.35
437,437,1,2074374.81
438,438,1,1509369.08
439,439,1,761106.03
440,440,1,507934.63
441,441,1,1161844.44
442,442,1,301891.95
443,443,1,873928.43
444,444,1,940177.26
445,445,1,1748010.14
446,446,1,1077260.18
447,447,1,523389.57
448,448,1,1459950.59
449,449,1,1160915.6
450,450,1,724628.74
451,451,1,574808.62
452,452,1,141587.6
453,453,1,363646.92
454,454,1,1598051.33
455,455,1,601027.86
456,456,1,46504.54
457,457,1,1136033.68
458,458,1,2085917.65
459,459,1,2457045.24
460,460,1,2207756.77
461,461,1,1465017.37
462,462,1,1059483.36
463,463,1,1335807.2
464,464,1,197979.35
465,465,1,1398941.48
466,466,1,3386218.12
467,467,1,2759907.95
468,468,1,391060.43
469,469,1,2413738.7
470,470,1,2555219.72
471,471,1,709041.53
472,472,1,1608067.84
473,473,1,1163485.13
474,474,1,767478.07
475,475,1,526464.22
476,476,1,1472607.3
477,477,1,1139948.16
478,478,1,2088185.55
479,479,1,570287.22
480,480,1,391049.07
481,481,1,102188.94
482,482,1,2036629.67
483,483,1,1748436.98
484,484,1,760005.38
485,485,1,1542038.28
486,486,1,1866713.72
487,487,1,359751.97
488,488,1,30452.7
489,489,1,728473.41
490,490,1,1818503.62
491,491,1,1587972.91
492,492,1,1133013.26
493,493,1,1787452.99
494,494,1,1052532
495,495,1,1235895.9
496,496,1,153349
497,497,1,1794255.84
498,498,1,1469988
499,499,1,2942121.69
500,500,1,2827872.4
501,501,1,510765.84
502,502,1,3433947.38
503,503,1,435258.72
504,504,1,3165678.55
505,505,1,2472311.84
506,506,1,1526501.81
507,507,1,2040276.7
508,508,1,19890.37
509,509,1,1589265.1
510,510,1,2461748.89
511,511,1,3506573.12
512,512,1,185316.39
513,513,1,96186.36
514,514,1,92583.3
515,515,1,141725.13
516,516,1,1824585.8
517,517,1,49832.45
518,518,1,781591.93
519,519,1,2052560.39
520,520,1,1522434.2
521,521,1,1537281.66
522,522,1,1354563.23
523,523,1,347768.55
524,524,1,1195109.32
525,525,1,1844920.4
526,526,1,1935085.9
527,527,1,932839.65
528,528,1,1526243.1
529,529,1,1535514.79
530,530,1,1987128.94
531,531,1,516358.91
532,532,1,1182228.84
533,533,1,448993.9
534,534,1,1569117.65
535,535,1,774501.39
536,536,1,2231299.28
537,537,1,713811.7
538,538,1,115830
539,539,1,37290.99
540,540,1,2518012.97
541,541,1,1148634.86
542,542,1,1083462.43
543,543,1,2639485.37
544,544,1,2651396.9
545,545,1,315090.05
546,546,1,1697229.33
547,547,1,2381293.51
548,548,1,939054.36
549,549,1,2262494.52
550,550,1,881445.05
551,551,1,321351.76
552,552,1,1000399.8
553,553,1,655903.5
554,554,1,402354.01
555,555,1,413179.79
556,556,1,386083.36
557,557,1,424807.97
558,558,1,1081553.99
559,559,1,489860.84
560,560,1,1015826.45
561,561,1,1288591.41
562,562,1,1842341.72
563,563,1,907479.98
564,564,1,174285.8
565,565,1,93196.4
566,566,1,986236.89
567,567,1,1073380.28
568,568,1,936988.52
569,569,1,713488.59
570,570,1,2240937.25
571,571,1,1137120.82
572,572,1,1240283.37
573,573,1,1531691.37
574,574,1,1607192.18
575,575,1,1519600.68
576,576,1,1497405.52
577,577,1,1958860.55
578,578,1,347383.67
579,579,1,2952635.59
580,580,1,1757115.36
581,581,1,1853971.14
582,582,1,2447687.92
583,583,1,1105296.19
584,584,1,1401292.34
585,585,1,3682144.63
586,586,1,1344267.85
587,587,1,1910091.21
588,588,1,856739.62
589,589,1,1812524.81
590,590,1,1780403.98
591,591,1,59322.43
592,592,1,920379.3
593,593,1,1716822.06
594,594,1,410803.29
595,595,1,471643.02
596,596,1,517989.16
597,597,1,1785737.99
598,598,1,1216953.92
599,599,1,85228.23
600,600,1,426931.07
601,601,1,179114.42
602,602,1,1636876.24
603,603,1,2046083.73
604,604,1,554910.47
605,605,1,839931.87
606,606,1,2029058.69
607,607,1,1351719.25
608,608,1,1824611.44
609,609,1,600564.56
610,610,1,692495.73
611,611,1,3366438.94
612,612,1,2888485.52
613,613,1,354316.81
614,614,1,2056005.74
615,615,1,1051840.11
616,616,1,2719427.57
617,617,1,3651615.68
618,618,1,3057747.64
619,619,1,2215926.65
620,620,1,2044888.25
621,621,1,2699644.9
622,622,1,894687.98
623,623,1,812447.38
624,624,1,305570.2
625,625,1,114060.34
626,626,1,2376024.02
627,627,1,559627.91
628,628,1,1712284.52
629,629,1,1678371.55
630,630,1,228824.29
631,631,1,317671.85
632,632,1,991448.64
633,633,1,455875.43
634,634,1,966974.3
635,635,1,1799476.61
636,636,1,2003180.87
637,637,1,2360532.72
638,638,1,1273373.48
639,639,1,2451937.49
640,640,1,2738671.6
641,641,1,101852.15
642,642,1,2730978.81
643,643,1,1789594.93
644,644,1,1386027.86
645,645,1,3659282.64
646,646,1,1521737.88
647,647,1,1371305.52
648,648,1,3181978.05
649,649,1,2927049.47
650,650,1,3157984.25
651,651,1,2494964.41
652,652,1,242602.98
653,653,1,358423.94
654,654,1,577398.02
655,655,1,889013.36
656,656,1,545681.86
657,657,1,600656.85
658,658,1,862302.54
659,659,1,1018360.26
660,660,1,2048842.43
661,661,1,940962.15
662,662,1,1642210.75
663,663,1,1139215.9
664,664,1,867184.78
665,665,1,26472.14
666,666,1,724541.79
667,667,1,1845367.43
668,668,1,166641.28
669,669,1,1772562.4
670,670,1,1253654.3
671,671,1,395152.49
672,672,1,1948462.21
673,673,1,1327895.71
674,674,1,16598.82
675,675,1,1543451.27
676,676,1,994769.19
677,677,1,1930505.3
678,678,1,1667011.13
679,679,1,878880.04
680,680,1,1920440.62
681,681,1,797105.09
682,682,1,1228994.96
683,683,1,227464.47
684,684,1,1842152.52
685,685,1,1202626.71
686,686,1,3309982.42
687,687,1,1533997.48
688,688,1,1686319.81
689,689,1,845042.64
690,690,1,405406.56
691,691,1,981968.46
692,692,1,376709.05
693,693,1,215069.5
694,694,1,470562.35
695,695,1,419476.93
696,696,1,559926.22
697,697,1,123812.21
698,698,1,1497476.95
699,699,1,1352587.02
700,700,1,1749601.78
701,701,1,2012073.27
702,702,1,2072539.12
703,703,1,1748363.88
704,704,1,866876.4
705,705,1,529163.34
706,706,1,1832188.18
707,707,1,1918895
708,708,1,401477.54
709,709,1,238697.08
710,710,1,574559.86
711,711,1,1164577.44
712,712,1,413464.06
713,713,1,1363580.4
714,714,1,328637.46
715,715,1,2583038.02
716,716,1,240939.88
717,717,1,1728323.69
718,718,1,2859365.43
719,719,1,3077417.62
720,720,1,1763934.31
721,721,1,2903986.18
722,722,1,2012822.76
723,723,1,221146.1
724,724,1,2494873.99
725,725,1,2858247.1
726,726,1,300566.92
727,727,1,674815.56
728,728,1,190411.23
729,729,1,1866762.61
730,730,1,1754362.27
731,731,1,2152276.34
732,732,1,398140.52
733,733,1,1420223.88
734,734,1,2385925.4
735,735,1,1281095.71
736,736,1,1724125.73
737,737,1,1000989.08
738,738,1,348978.8
739,739,1,1043985.45
740,740,1,690029.73
741,741,1,2530295.04
742,742,1,590190.12
743,743,1,2125843.2
744,744,1,1822437.14
745,745,1,816483.53
746,746,1,2431774.8
747,747,1,92029.02
748,748,1,2089401.35
749,749,1,334930.94
750,750,1,1150905.29
751,751,1,2327859.24
752,752,1,3437340.57
753,753,1,2660596.54
754,754,1,2469755.81
755,755,1,1147115.55
756,756,1,2373551.86
757,757,1,2025047.23
758,758,1,527299.14
759,759,1,180271.94
760,760,1,758085.87
761,761,1,284522.28
762,762,1,186701.84
763,763,1,330854.78
764,764,1,359237.8
765,765,1,1158933.78
766,766,1,1194068.68
767,767,1,789787.96
768,768,1,449356.13
769,769,1,1253778.49
770,770,1,201554.29
771,771,1,643889.06
772,772,1,447350.9
773,773,1,388453.98
774,774,1,1066463.19
775,775,1,1540525.66
776,776,1,1669233.95
777,777,1,132732.7
778,778,1,1277692.92
779,779,1,254628.82
780,780,1,2624524.03
781,781,1,1633375.22
782,782,1,1075785.36
783,783,1,3630974.63
784,784,1,305619.72
785,785,1,2319004.58
786,786,1,583241.82
787,787,1,591718.61
788,788,1,2096017.25
789,789,1,2049794.32
790,790,1,1639144.42
791,791,1,795630.51
792,792,1,1665735.93
793,793,1,1143912.31
794,794,1,723250.69
795,795,1,849090.28
796,796,1,998061.06
797,797,1,1908318.3
798,798,1,758815.3
799,799,1,527909.99
800,800,1,2821.62
801,801,1,783115.32
802,802,1,1187324.24
803,803,1,630103.41
804,804,1,1839496.67
805,805,1,13242.53
806,806,1,830042.93
807,807,1,383136.62
808,808,1,1268468.03
809,809,1,1371574.34
810,810,1,159594.24
811,811,1,712406.57
812,812,1,800431.74
813,813,1,3111072.74
814,814,1,2385927.4
815,815,1,902642.71
816,816,1,1150664.24
817,817,1,1445095.92
818,818,1,386900.47
819,819,1,981722.04
820,820,1,2656528.37
821,821,1,2590957.2
822,822,1,2696246.47
823,823,1,125443.34
824,824,1,401538.01
825,825,1,1071863.31
826,826,1,372235.22
827,827,1,419199.35
828,828,1,1560681.16
829,829,1,1673136.44
830,830,1,476190.21
831,831,1,2092679.85
832,832,1,743379.69
833,833,1,850137.1
834,834,1,198744.5
835,835,1,30294.99
836,836,1,32464.64
837,837,1,796443.52
838,838,1,985573.18
839,839,1,1074399.96
840,840,1,462389.41
841,841,1,479943.68
842,842,1,268317.94
843,843,1,254424.96
844,844,1,832932.18
845,845,1,472552.56
846,846,1,1846269.7
847,847,1,945737.44
848,848,1,599535.65
849,849,1,1036432.32
850,850,1,1508406.24
851,851,1,943639.85
852,852,1,626208.19
853,853,1,2594960.35
854,854,1,408879.65
855,855,1,1830527.28
856,856,1,1878500.45
857,857,1,1416780.58
858,858,1,2846483.42
859,859,1,934442.5
860,860,1,1309432.48
861,861,1,902414.02
862,862,1,1304327.04
863,863,1,672939.07
864,864,1,122471.52
865,865,1,811602.29
866,866,1,1474926.08
867,867,1,3334.32
868,868,1,456103.04
869,869,1,183142.66
870,870,1,738487.73
871,871,1,836776.32
872,872,1,716193.65
873,873,1,1390997.57
874,874,1,567257.33
875,875,1,266368.51
876,876,1,723930.82
877,877,1,403406.5
878,878,1,916309.87
879,879,1,620401.52
880,880,1,619713.68
881,881,1,2713.15
882,882,1,305083.04
883,883,1,333919.3
884,884,1,1750.32
885,885,1,227261.38
886,886,1,904272.12
887,887,1,1624189.44
888,888,1,1914558.34
889,889,1,1139500.48
890,890,1,1231352.93
891,891,1,1813258.56
892,892,1,287165.18
893,893,1,833275.97
894,894,1,1772575.2
895,895,1,889625.66
896,896,1,191935.01
897,897,1,2634107.04
898,898,1,1627255.58
899,899,1,2684240.06
900,900,1,1017350.78
901,901,1,1033147.66
902,902,1,1684736.16
903,903,1,960538.46
904,904,1,676677.89
905,905,1,2051236.32
906,906,1,2030459.33
907,907,1,578794.18
908,908,1,138531.07
909,909,1,130109.52
910,910,1,399576.48
911,911,1,439723.73
912,912,1,850140.86
913,913,1,950540.26
914,914,1,1202185.54
915,915,1,1230362.69
916,916,1,325142.96
917,917,1,229343.81
918,918,1,897539.52
919,919,1,5706.86
920,920,1,1276586.06
921,921,1,470491.52
922,922,1,888915.6
923,923,1,370099.76
924,924,1,679676.98
925,925,1,179194.08
926,926,1,846173.66
927,927,1,1290825
928,928,1,1075698.24
929,929,1,447301.62
930,930,1,754727.58
931,931,1,806347.44
932,932,1,1547959.87
933,933,1,82863.74
